Sample	bam_file	total_reads	mapped_reads	mapped_bases	sequenced_bases	mean_insert_size	median_insert_size	mean_mapping_quality	general_error_rate	mean_coverage	percentage_aligned
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea	SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea.sorted.bam	166297664.0	154507264.0	14844198860.0	14826752055.0	12919.5636	476.0	26.6146	0.0158	23.3934	92.91006276552388
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea	SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea.sorted.bam	153194074.0	143507723.0	13788945591.0	13773183967.0	13599.6768	478.0	26.7225	0.0154	21.7304	93.67707199953439
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea	SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea.sorted.bam	169619088.0	159292861.0	15135677047.0	15118292566.0	15210.9007	475.0	26.3972	0.0158	23.8528	93.91210793445606
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea	SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea.sorted.bam	147803562.0	138674839.0	13195431043.0	13179950137.0	13649.5441	468.0	26.5385	0.0161	20.7951	93.82374627750852
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea	SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea.sorted.bam	149346656.0	136653262.0	13289933261.0	13274367040.0	10444.3412	463.0	26.359	0.0162	20.944	91.5007176324055
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea	SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea.sorted.bam	158668132.0	150740342.0	14858884737.0	14842903619.0	9368.6588	470.0	27.3698	0.0139	23.4166	95.0035398412581
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea	SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea.sorted.bam	155390258.0	147048552.0	14350489188.0	14334586844.0	10463.0366	463.0	27.1155	0.0151	22.6154	94.63177028768432
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea	SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea.sorted.bam	174003140.0	164366832.0	16082060596.0	16063716168.0	9481.4047	458.0	27.2325	0.0152	25.3442	94.46199189278998
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand	SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand.sorted.bam	155391312.0	143325977.0	14016731304.0	13998705444.0	10573.7884	464.0	26.5494	0.0164	22.0894	92.23551507178213
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France	SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France.sorted.bam	58128392.0	54312064.0	5319887038.0	5314465245.0	15264.2487	484.0	25.6684	0.0207	8.3838	93.43465754222137
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand	SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand.sorted.bam	184987208.0	172358371.0	16815343883.0	16792771780.0	12110.9921	467.0	26.4634	0.0168	26.4998	93.17312957120797
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand	SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand.sorted.bam	192877040.0	176937655.0	17429346780.0	17404222816.0	13671.0455	472.0	26.4414	0.0172	27.4675	91.73598630505737
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand	SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand.sorted.bam	177227174.0	165748075.0	16111562193.0	16091257088.0	15479.9446	489.0	26.2873	0.0168	25.3907	93.52294643032563
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand	SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand.sorted.bam	163077260.0	152639697.0	14916034136.0	14896845544.0	16061.7343	462.0	26.3514	0.0169	23.5067	93.59962081776455
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand	SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand.sorted.bam	137280978.0	126234167.0	12429603043.0	12411922610.0	13911.2088	472.0	26.2217	0.0173	19.5882	91.95313789212662
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand	SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand.sorted.bam	152678170.0	142470930.0	13845957675.0	13828123746.0	15614.4062	458.0	26.3123	0.0169	21.8203	93.3145386796292
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand	SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand.sorted.bam	231905138.0	210891221.0	20736326332.0	20712057804.0	4139.1708	260.0	26.7245	0.0139	32.679	90.93857204664435
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand	SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand.sorted.bam	203099062.0	149990998.0	14756064662.0	14736659843.0	3830.1567	183.0	26.4861	0.0163	23.2546	73.85115249818337
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand	SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand.sorted.bam	311722892.0	275046216.0	26953454551.0	26919791127.0	11887.4217	452.0	25.461	0.0207	42.4768	88.23420514140489
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France	SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France.sorted.bam	180562498.0	170448542.0	16798661198.0	16780934365.0	13712.0752	483.0	26.6576	0.0174	26.4735	94.39863974411786
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France	SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France.sorted.bam	55469394.0	52752019.0	5210284863.0	5204714084.0	10791.0857	481.0	27.6569	0.0135	8.2111	95.10112729913726
