Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_1							3.55	41.869283266282984	43.0	101.0	0.0	144328470.0								
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand_2								40.063547429790916	43.0	101.0	0.0	144328470.0								
SRR12223734_bamqc_results													43.31788519174963	260	91.87815534797542	84.3271207059292	75.688183737935	33.148262277441965	8.279430926950853	22
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand	23.2546	73.85115249818337	149990998.0	203099062.0	1.63	73.85														
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_1							3.5	45.199419809101585	45.0	101.0	9.090909090909092	140473243.0								
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand_2								43.84319169559162	45.0	101.0	9.090909090909092	140473243.0								
SRR12223735_bamqc_results													46.0688593955322	183	90.99358324736532	82.26406847933012	71.59093334056413	23.909107303512446	4.5605810508264435	18
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand	42.4768	88.23420514140489	275046216.0	311722892.0	2.07	88.23														
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_1							4.68	24.952610715212415	47.0	101.0	0.0	219230142.0								
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand_2								14.690205301416967	48.0	101.0	9.090909090909092	219230142.0								
SRR12223736_bamqc_results													48.304232298001274	451	95.48245954567747	90.04414893378369	85.4255084960398	62.973800023411734	31.12942156488988	38
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1							4.21	23.497224047956294	47.0	101.0	0.0	217392167.0								
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_1_U								10.085449297773081	48.0	93.84769552443962	0.0	42521692.0								
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2								14.795687883115193	47.0	101.0	9.090909090909092	217392167.0								
SRR12223737_SRP271933_Undaria_pinnatifida_individual_11_2016-01-12_INTRO_NZ_Lyall_1_New_Zealand_2_U								2.8404953808785365	46.0	89.42590559741095	9.090909090909092	5272652.0								
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France	26.4735	94.39863974411786	170448542.0	180562498.0	1.7399999999999998	94.4														
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_1							4.43	16.60962236524591	48.0	101.0	0.0	113172780.0								
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France_2								11.200133343328673	47.0	101.0	9.090909090909092	113172780.0								
SRR12223738_bamqc_results													48.172216737680394	483	93.56758685535783	86.17849499490823	79.36102805892087	37.27239697312047	5.24089470209753	25
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France	8.2111	95.10112729913726	52752019.0	55469394.0	1.35	95.1														
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_1							3.63													
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France_2								7.738808447751822	48.0	101.0	0.0	33846818.0								
SRR12223739_bamqc_results													48.890845754914494	481	90.19305166529934	69.5863070626867	34.76274213942448	0.6776536354959124	0.24608368701491323	7
SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea						94.63														
SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea_1							7.27	14.930088153628887	48.0	101.0	0.0	141372659.0								
SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea_2								13.315338596063526	48.0	101.0	0.0	141372659.0								
