Sample	QualiMap_mqc-generalstats-qualimap-mean_coverage	QualiMap_mqc-generalstats-qualimap-percentage_aligned	QualiMap_mqc-generalstats-qualimap-mapped_reads	QualiMap_mqc-generalstats-qualimap-total_reads	QualiMap_mqc-generalstats-qualimap-general_error_rate	Bowtie 2 / HiSAT2_mqc-generalstats-bowtie_2_hisat2-overall_alignment_rate	Trimmomatic_mqc-generalstats-trimmomatic-dropped_pct	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences	QualiMap_mqc-generalstats-qualimap-avg_gc	QualiMap_mqc-generalstats-qualimap-median_insert_size	QualiMap_mqc-generalstats-qualimap-1_x_pc	QualiMap_mqc-generalstats-qualimap-5_x_pc	QualiMap_mqc-generalstats-qualimap-10_x_pc	QualiMap_mqc-generalstats-qualimap-30_x_pc	QualiMap_mqc-generalstats-qualimap-50_x_pc	QualiMap_mqc-generalstats-qualimap-median_coverage
SRR12223706_bamqc_results													47.94401340893377	460	94.08658384285175	86.4027233405088	78.55363392297457	32.98445579855537	3.981067955879556	23
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea	24.3741	93.32823058587343	159196858.0	170577388.0	1.8800000000000001	93.33														
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_1							2.89	14.531288418840163	48.0	101.0	0.0	101235093.0								
SRR12223707_SRP271933_Undaria_pinnatifida_individual_39_2018-01-04_NAT_Kr_Goseong_3_South_Korea_2								14.250976676813579	48.0	101.0	9.090909090909092	101235093.0								
SRR12223707_bamqc_results													48.87657351964194	465	93.42885581992564	85.47635704808498	77.51446745451157	30.869885879145592	3.4049366536051893	23
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea	23.6486	93.62941684433174	154525939.0	165039946.0	1.82	93.63														
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_1							2.86	17.173549138881228	48.0	101.0	0.0	97557819.0								
SRR12223708_SRP271933_Undaria_pinnatifida_individual_38_2018-01-04_NAT_Kr_Goseong_2_South_Korea_2								16.59725948890089	48.0	101.0	9.090909090909092	97557819.0								
SRR12223708_bamqc_results													48.14296915864966	465	93.16595567676183	84.76897692075663	76.07683065444603	25.192147371826955	2.8325923161437525	21
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea	24.1637	93.36669561089198	157609910.0	168807420.0	1.8599999999999999	93.37														
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_1							3.03	15.330228253486922	48.0	101.0	0.0	100543145.0								
SRR12223709_SRP271933_Undaria_pinnatifida_individual_37_2018-01-04_NAT_Kr_Goseong_1_South_Korea_2								14.879574778829436	48.0	101.0	0.0	100543145.0								
SRR12223709_bamqc_results													48.62918018700233	458	93.87222571752578	85.89095594147902	77.55992757955369	28.9739986003107	3.0906124279968252	22
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea	25.6981	94.65544144703036	167525863.0	176984926.0	1.5599999999999998	94.66														
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_1							2.97	15.867350193956426	48.0	101.0	0.0	105282633.0								
SRR12223710_SRP271933_Undaria_pinnatifida_individual_36_2017-12-19_NAT_Kr_Tongyeong_5_South_Korea_2								15.538563099367451	48.0	101.0	0.0	105282633.0								
SRR12223710_bamqc_results													48.38015054753842	459	94.83490652829222	87.74063058769869	80.19638537628379	32.258336262741565	3.6028050135045637	23
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea	24.6146	94.51309836723374	159245127.0	168490008.0	1.53	94.51														
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_1							2.63	15.582210003073783	48.0	101.0	0.0	98630688.0								
SRR12223711_SRP271933_Undaria_pinnatifida_individual_35_2017-12-19_NAT_Kr_Tongyeong_4_South_Korea_2								15.482578807139191	48.0	101.0	0.0	98630688.0								
SRR12223711_bamqc_results													48.35039984165445	460	94.42557676384202	87.06772602355682	79.28035971986351	28.89817704039698	2.9626763697898113	22
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_1							2.64	15.367300137887767	48.0	101.0	0.0	98042675.0								
SRR12223712_SRP271933_Undaria_pinnatifida_individual_34_2017-12-19_NAT_Kr_Tongyeong_3_South_Korea_2								15.276669873842565	48.0	101.0	0.0	98042675.0								
SRR12223712bowtie2						92.83														
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea	24.6624	94.69496777697456	160242226.0	169219368.0	1.46	94.69														
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_1							2.87	21.725501395283928	46.0	101.0	0.0	99998960.0								
SRR12223713_SRP271933_Undaria_pinnatifida_individual_33_2017-12-19_NAT_Kr_Tongyeong_2_South_Korea_2								21.022602284163014	47.0	101.0	0.0	99998960.0								
SRR12223713_bamqc_results													46.91469173540972	463	94.19803155397105	86.31742428259737	77.43809100890887	22.211503169903086	2.4701856144950605	20
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea	22.5206	85.99299384966126	146501620.0	170364600.0	1.54	85.99														
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_1							2.88	13.99000634840462	48.0	101.0	0.0	100425143.0								
SRR12223714_SRP271933_Undaria_pinnatifida_individual_32_2017-12-19_NAT_Kr_Tongyeong_1_South_Korea_2								13.388114250627837	48.0	101.0	0.0	100425143.0								
SRR12223714_bamqc_results													48.37916595948324	459	94.40649711161826	86.5027086671627	77.51570755547341	21.672257503760857	2.2595808866285028	20
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea						93.74														
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_1							5.68	26.476108078880927	47.0	101.0	0.0	107057959.0								
SRR12223715_SRP271933_Undaria_pinnatifida_individual_31_2017-04-04_CUL_Kr_Wando2017_6_South_Korea_2								25.4733469729332	47.0	101.0	0.0	107057959.0								
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France	23.3189	94.34750098581586	150328619.0	159335030.0	1.4200000000000002	94.35														
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_1							4.93	16.533169977061462	47.0	101.0	0.0	104433646.0								
SRR12223716_SRP271933_Undaria_pinnatifida_individual_4_2016-04-19_INTRO_Fr_Roscoff_4_France_2								15.214555470897949	47.0	101.0	0.0	104433646.0								
SRR12223716_bamqc_results													48.05595737341158	479	93.06039344162686	84.99454307510862	76.75083584955975	25.609957857227766	2.949231462754841	21
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea	18.8374	92.33492584982417	123547200.0	133803324.0	1.63	92.33														
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_1							7.61	27.934561084044716	47.0	101.0	0.0	98815241.0								
SRR12223717_SRP271933_Undaria_pinnatifida_individual_30_2017-04-04_CUL_Kr_Wando2017_5_South_Korea_2								23.589115498085633	47.0	101.0	0.0	98815241.0								
SRR12223717_bamqc_results													47.62351146734235	467	94.01024884426302	84.35630350119048	70.50169556976287	11.740158570822741	1.5507277355753757	16
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea	23.3934	92.91006276552388	154507264.0	166297664.0	1.58	92.91														
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_1							6.35	26.328018074375976	48.0	101.0	0.0	111565597.0								
SRR12223718_SRP271933_Undaria_pinnatifida_individual_29_2017-04-04_CUL_Kr_Wando2017_4_South_Korea_2								24.156275104584097	48.0	101.0	0.0	111565597.0								
SRR12223718_bamqc_results													48.46977413969551	475	95.06004182281075	87.62091648239306	78.15137158357642	25.820744290064333	3.485900637522682	20
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea	21.7304	93.67707199953439	143507723.0	153194074.0	1.54	93.68														
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_1							6.42	25.133004675478702	48.0	101.0	0.0	103012930.0								
SRR12223719_SRP271933_Undaria_pinnatifida_individual_28_2017-04-04_CUL_Kr_Wando2017_3_South_Korea_2								23.182920487539604	48.0	101.0	0.0	103012930.0								
SRR12223719_bamqc_results													48.574518308421155	478	94.59432599613655	86.58005147432316	76.19236318154333	21.095434682485276	2.6291681652533234	19
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea	23.8528	93.91210793445606	159292861.0	169619088.0	1.58	93.91														
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_1							6.66	22.760760708713946	47.0	101.0	18.181818181818183	115917661.0								
SRR12223720_SRP271933_Undaria_pinnatifida_individual_27_2017-04-04_CUL_Kr_Wando2017_2_South_Korea_2								21.490424203700073	47.0	101.0	9.090909090909092	115917661.0								
SRR12223720_bamqc_results													47.824888921224236	475	94.96204878950536	87.40613317058914	77.9043625092381	24.44324174910629	3.1390108784212534	20
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea	20.7951	93.82374627750852	138674839.0	147803562.0	1.6099999999999999	93.82														
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_1							6.63	27.75655155354538	47.0	101.0	18.181818181818183	102220890.0								
SRR12223721_SRP271933_Undaria_pinnatifida_individual_26_2017-04-04_CUL_Kr_Wando2017_1_South_Korea_2								25.492030301489223	48.0	101.0	9.090909090909092	102220890.0								
SRR12223721_bamqc_results													48.21088282488298	467	94.53674915962515	86.03737768310495	74.58870130539451	17.961165310944033	2.2639203732322835	18
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea	20.944	91.5007176324055	136653262.0	149346656.0	1.6199999999999999	91.5														
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_1							6.72	21.27760239544027	47.0	101.0	0.0	103574253.0								
SRR12223722_SRP271933_Undaria_pinnatifida_individual_25_2015-01-23_CUL_Kr_Wando2015_4_South_Korea_2								19.999131298375858	47.0	101.0	0.0	103574253.0								
SRR12223722_bamqc_results													46.83798946234253	462	92.61423918720962	82.78459947912071	71.36973661552562	15.21402460293804	2.098940140124853	17
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea	23.4166	95.0035398412581	150740342.0	158668132.0	1.39	95.0														
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_1							4.4	15.680378028957776	48.0	101.0	0.0	102600689.0								
SRR12223723_SRP271933_Undaria_pinnatifida_individual_24_2015-01-23_CUL_Kr_Wando2015_3_South_Korea_2								14.657642241363007	48.0	101.0	0.0	102600689.0								
SRR12223723_bamqc_results													48.266792021764374	469	94.99989464106011	87.70635501029447	79.01413829981944	24.434282575173075	2.2856237947931297	21
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea	22.6154	94.63177028768432	147048552.0	155390258.0	1.51	94.63														
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_1							5.75	15.952463172281242	47.0	101.0	0.0	102389141.0								
SRR12223724_SRP271933_Undaria_pinnatifida_individual_23_2015-01-23_CUL_Kr_Wando2015_2_South_Korea_2								15.352963361812371	47.0	101.0	9.090909090909092	102389141.0								
SRR12223724_bamqc_results													47.644669434365504	463	95.13050221934655	87.2143353011015	77.17362360128128	21.626418051864615	2.542452029206327	19
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea	25.3442	94.46199189278998	164366832.0	174003140.0	1.52	94.46														
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_1							5.01	17.258413339700198	47.0	101.0	0.0	110689360.0								
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea_2								17.018310260754404	47.0	101.0	9.090909090909092	110689360.0								
SRR12223725_bamqc_results													47.47862541547414	458	94.92164267867676	87.55847726501032	79.01469192476276	28.83490147585394	3.7515249368977486	22
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand	22.0894	92.23551507178213	143325977.0	155391312.0	1.6400000000000001	92.24														
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_1							4.84	33.86672351359992	48.0	101.0	0.0	100489169.0								
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand_2								31.35893890407492	48.0	101.0	0.0	100489169.0								
SRR12223726_bamqc_results													48.719755319888286	463	93.0358932133854	84.860385079416	75.25267490478758	23.837938052722425	3.2721035440208555	20
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France	8.3838	93.43465754222137	54312064.0	58128392.0	2.07	94.93														
