Sample	total_reads	paired_total	paired_aligned_none	paired_aligned_one	paired_aligned_multi	paired_aligned_discord_one	paired_aligned_mate_none	paired_aligned_mate_one	paired_aligned_mate_multi	overall_alignment_rate	paired_aligned_mate_multi_halved	paired_aligned_mate_none_halved	paired_aligned_mate_one_halved
SRR12223725_SRP271933_Undaria_pinnatifida_individual_22_2015-01-23_CUL_Kr_Wando2015_1_South_Korea	87001570	87001570	44458743	25432961	17109866	19252306	9636308	8865660	31910906	94.46	15955453.0	4818154.0	4432830.0
SRR12223726_SRP271933_Undaria_pinnatifida_individual_21_2017-01-09_INTRO_NZ_Well2017_7_New_Zealand	77695656	77695656	43826549	20323114	13545993	17905148	12065335	8489516	31287951	92.24	15643975.5	6032667.5	4244758.0
SRR12223727_SRP271933_Undaria_pinnatifida_individual_3_2016-04-19_INTRO_Fr_Roscoff_3_France	88713854	88713854	53733069	21143946	13836839	23972308	8987574	10403055	40130893	94.93	20065446.5	4493787.0	5201527.5
SRR12223728_SRP271933_Undaria_pinnatifida_individual_20_2017-01-09_INTRO_NZ_Well2017_6_New_Zealand	92493604	92493604	53388027	23603466	15502111	22375736	12628837	10859667	38536078	93.17	19268039.0	6314418.5	5429833.5
SRR12223729_SRP271933_Undaria_pinnatifida_individual_19_2017-01-09_INTRO_NZ_Well2017_5_New_Zealand	96438520	96438520	58178813	22997068	15262639	23655717	15939385	11381311	41725496	91.74	20862748.0	7969692.5	5690655.5
SRR12223730_SRP271933_Undaria_pinnatifida_individual_18_2017-01-09_INTRO_NZ_Well2017_4_New_Zealand	88613587	88613587	58247160	17866326	12500101	24816757	11479099	11731229	43650478	93.52	21825239.0	5739549.5	5865614.5
SRR12223731_SRP271933_Undaria_pinnatifida_individual_17_2017-01-09_INTRO_NZ_Well2017_3_New_Zealand	81538630	81538630	45329090	21335230	14874310	18712070	10437563	9504689	33291788	93.6	16645894.0	5218781.5	4752344.5
SRR12223732_SRP271933_Undaria_pinnatifida_individual_16_2017-01-09_INTRO_NZ_Well2017_2_New_Zealand	68640489	68640489	41664861	15941127	11034501	17096142	11046811	8232687	29857940	91.95	14928970.0	5523405.5	4116343.5
SRR12223733_SRP271933_Undaria_pinnatifida_individual_15_2017-01-09_INTRO_NZ_Well2017_1_New_Zealand	76339085	76339085	41959600	20142420	14237065	17062195	10207240	8940929	30646641	93.31	15323320.5	5103620.0	4470464.5
SRR12223734_SRP271933_Undaria_pinnatifida_individual_14_1987-08-14_INTRO_NZ_Well1987_2_New_Zealand	115952569	115952569	14138073	70567455	31247041	642736	21013917	2647762	3328995	90.94	1664497.5	10506958.5	1323881.0
SRR12223735_SRP271933_Undaria_pinnatifida_individual_13_1987-08-14_INTRO_NZ_Well1987_1_New_Zealand	101549531	101549531	29153219	46402919	25993393	492252	53108064	1919958	2293912	73.85	1146956.0	26554032.0	959979.0
SRR12223736_SRP271933_Undaria_pinnatifida_individual_12_2016-01-12_INTRO_NZ_Lyall_2_New_Zealand	155861446	155861446	87532030	40281616	28047800	32551601	36676676	16577408	56706774	88.23	28353387.0	18338338.0	8288704.0
SRR12223738_SRP271933_Undaria_pinnatifida_individual_2_2016-04-19_INTRO_Fr_Roscoff_2_France	90281249	90281249	56856275	19794363	13630611	25179929	10113956	11238664	42000072	94.4	21000036.0	5056978.0	5619332.0
SRR12223739_SRP271933_Undaria_pinnatifida_individual_1_2016-04-19_INTRO_Fr_Roscoff_1_France	27734697	27734697	17010082	6439350	4285265	7622987	2717375	3306188	12750627	95.1	6375313.5	1358687.5	1653094.0
SRR12750384_SRP271933_Undaria_pinnatifida__2015-01-23_Undaria_pinnatifida_gDNA_GCCAAT_L007_South_Korea	105025951	105025951	61081564	25554820	18389567	25765568	11272427	12832205	46527360	94.63	23263680.0	5636213.5	6416102.5
